,0,label
713,"[1, 52, 0]",221
714,"[1, 52, 0]",221
715,"[1, 52, 0]",221
716,"[1, 52, 0]",221
717,"[1, 52, 0]",221
718,"[1, 52, 0]",221
719,"[1, 52, 0]",221
720,"[1, 52, 0]",221
721,"[1, 20, 0]",221
722,"[1, 1380, 0]",221
723,"[1, 140, 0]",221
724,"[1, 192, 0]",221
725,"[1, 182, 0]",221
726,"[0, 40, 0]",221
727,"[0, 40, 0]",221
728,"[0, 40, 0]",221
729,"[0, 40, 0]",221
730,"[0, 40, 0]",221
731,"[0, 40, 0]",221
732,"[0, 40, 0]",221
733,"[0, 40, 0]",221
734,"[0, 40, 0]",221
735,"[0, 40, 0]",221
736,"[0, 40, 0]",221
737,"[1, 40, 0]",221
738,"[0, 40, 0]",221
739,"[0, 40, 0]",221
740,"[0, 40, 0]",221
741,"[0, 40, 0]",221
742,"[1, 52, 0]",221
743,"[1, 40, 0]",221
744,"[0, 1431, 0]",221
745,"[0, 40, 0]",221
746,"[0, 40, 0]",221
747,"[1, 40, 0]",221
748,"[0, 40, 0]",221
749,"[0, 40, 0]",221
750,"[0, 552, 0]",221
751,"[0, 40, 0]",221
752,"[1, 40, 0]",221
753,"[0, 40, 0]",221
754,"[0, 40, 0]",221
755,"[0, 40, 0]",221
756,"[0, 40, 0]",221
757,"[0, 40, 0]",221
758,"[0, 40, 0]",221
759,"[0, 561, 0]",221
760,"[0, 40, 0]",221
761,"[0, 40, 0]",221
762,"[0, 552, 0]",221
763,"[0, 212, 0]",221
764,"[0, 40, 0]",221
765,"[0, 40, 0]",221
766,"[0, 40, 0]",221
767,"[0, 40, 0]",221
768,"[1, 40, 0]",221
769,"[0, 40, 0]",221
770,"[0, 40, 0]",221
771,"[0, 40, 0]",221
772,"[1, 40, 0]",221
773,"[0, 40, 0]",221
774,"[0, 40, 0]",221
775,"[0, 40, 0]",221
776,"[0, 40, 0]",221
777,"[0, 212, 0]",221
778,"[0, 40, 0]",221
779,"[0, 40, 0]",221
780,"[1, 52, 0]",221
781,"[0, 40, 0]",221
782,"[1, 40, 0]",221
783,"[0, 40, 0]",221
784,"[0, 40, 0]",221
785,"[0, 40, 0]",221
786,"[0, 40, 0]",221
787,"[0, 40, 0]",221
788,"[0, 212, 0]",221
789,"[0, 561, 0]",221
790,"[0, 40, 0]",221
791,"[0, 40, 0]",221
792,"[0, 40, 0]",221
793,"[0, 40, 0]",221
794,"[0, 40, 0]",221
795,"[0, 40, 0]",221
796,"[0, 40, 0]",221
797,"[0, 40, 0]",221
798,"[0, 40, 0]",221
799,"[1, 40, 0]",221
800,"[1, 60, 0]",310
801,"[1, 60, 0]",310
802,"[1, 60, 0]",310
803,"[1, 60, 0]",310
804,"[1, 60, 0]",310
805,"[1, 60, 0]",310
806,"[1, 60, 0]",310
807,"[1, 60, 0]",310
808,"[1, 60, 0]",310
809,"[1, 60, 0]",310
810,"[1, 60, 0]",310
811,"[1, 60, 0]",310
812,"[1, 60, 0]",310
813,"[1, 60, 0]",310
814,"[1, 60, 0]",310
815,"[1, 60, 0]",310
816,"[1, 60, 0]",310
817,"[1, 60, 0]",310
818,"[1, 60, 0]",310
819,"[1, 60, 0]",310
820,"[1, 60, 0]",310
821,"[1, 60, 0]",310
822,"[1, 60, 0]",310
823,"[1, 60, 0]",310
824,"[1, 60, 0]",310
825,"[1, 60, 0]",310
826,"[1, 60, 0]",310
827,"[1, 60, 0]",310
828,"[1, 60, 0]",310
829,"[1, 60, 0]",310
830,"[1, 60, 0]",310
831,"[1, 60, 0]",310
832,"[1, 60, 0]",310
833,"[1, 60, 0]",310
834,"[1, 60, 0]",310
835,"[1, 60, 0]",310
836,"[1, 60, 0]",310
837,"[1, 60, 0]",310
838,"[1, 60, 0]",310
839,"[1, 60, 0]",310
840,"[1, 60, 0]",310
841,"[1, 60, 0]",310
842,"[1, 60, 0]",310
843,"[1, 60, 0]",310
844,"[1, 60, 0]",310
845,"[1, 60, 0]",310
846,"[1, 60, 0]",310
847,"[1, 60, 0]",310
848,"[1, 60, 0]",310
849,"[1, 60, 0]",310
850,"[1, 60, 0]",310
851,"[1, 60, 0]",310
852,"[1, 60, 0]",310
853,"[1, 60, 0]",310
854,"[1, 60, 0]",310
855,"[1, 60, 0]",310
856,"[1, 60, 0]",310
857,"[1, 60, 0]",310
858,"[1, 60, 0]",310
859,"[1, 60, 0]",310
860,"[1, 60, 0]",310
861,"[1, 60, 0]",310
862,"[1, 60, 0]",310
863,"[1, 60, 0]",310
864,"[1, 60, 0]",310
865,"[1, 60, 0]",310
866,"[1, 60, 0]",310
867,"[1, 60, 0]",310
868,"[1, 60, 0]",310
869,"[1, 60, 0]",310
870,"[1, 60, 0]",310
871,"[1, 60, 0]",310
872,"[1, 60, 0]",310
873,"[1, 60, 0]",310
874,"[1, 60, 0]",310
875,"[1, 60, 0]",310
876,"[1, 60, 0]",310
877,"[1, 60, 0]",310
878,"[1, 60, 0]",310
879,"[1, 60, 0]",310
880,"[1, 60, 0]",310
881,"[1, 60, 0]",310
882,"[1, 60, 0]",310
883,"[1, 60, 0]",310
884,"[1, 60, 0]",310
885,"[1, 60, 0]",310
886,"[1, 60, 0]",310
887,"[1, 60, 0]",310
888,"[1, 60, 0]",310
889,"[1, 60, 0]",310
890,"[1, 60, 0]",310
891,"[1, 60, 0]",310
892,"[1, 60, 0]",310
893,"[1, 60, 0]",310
894,"[1, 60, 0]",310
895,"[1, 60, 0]",310
896,"[1, 60, 0]",310
897,"[1, 60, 0]",310
898,"[1, 60, 0]",310
899,"[1, 60, 0]",310
900,"[1, 60, 0]",310
901,"[1, 60, 0]",310
902,"[1, 60, 0]",310
903,"[1, 60, 0]",310
904,"[1, 60, 0]",310
905,"[1, 60, 0]",310
906,"[1, 60, 0]",310
907,"[1, 60, 0]",310
908,"[1, 60, 0]",310
909,"[1, 60, 0]",310
910,"[1, 60, 0]",310
911,"[1, 60, 0]",310
912,"[1, 60, 0]",310
913,"[1, 60, 0]",310
914,"[1, 60, 0]",310
915,"[1, 60, 0]",310
916,"[1, 60, 0]",310
917,"[1, 60, 0]",310
918,"[1, 60, 0]",310
919,"[1, 60, 0]",310
920,"[1, 60, 0]",310
921,"[1, 60, 0]",310
922,"[1, 60, 0]",310
923,"[1, 118, 0]",310
924,"[1, 118, 0]",310
925,"[1, 60, 0]",310
926,"[1, 118, 0]",310
927,"[1, 118, 0]",310
928,"[1, 118, 0]",310
929,"[1, 118, 0]",310
