,0,1,2,3,4,label
282,"[1, 52, 0]","[0, 52, 40]","[1, 40, 41]","[1, 1440, 42]","[1, 479, 42]",211
283,"[1, 52, 0]","[0, 52, 41]","[1, 40, 42]","[1, 1440, 42]","[1, 479, 42]",211
284,"[1, 52, 0]","[0, 52, 50]","[1, 40, 50]","[1, 1440, 51]","[1, 479, 51]",211
285,"[1, 52, 0]","[0, 52, 44]","[1, 40, 44]","[1, 1440, 45]","[1, 479, 45]",211
286,"[1, 52, 0]","[0, 52, 41]","[1, 40, 41]","[1, 1440, 42]","[1, 550, 42]",211
287,"[1, 52, 0]","[0, 52, 44]","[1, 40, 44]","[1, 1440, 45]","[1, 479, 45]",211
288,"[1, 52, 0]","[0, 52, 59]","[1, 40, 59]","[1, 1440, 60]","[1, 479, 60]",211
289,"[1, 52, 0]","[0, 52, 42]","[1, 40, 43]","[1, 1440, 43]","[1, 479, 43]",211
290,"[1, 52, 0]","[0, 52, 71]","[1, 40, 71]","[1, 1440, 72]","[1, 479, 72]",211
291,"[1, 52, 0]","[0, 52, 44]","[1, 40, 44]","[1, 1440, 46]","[1, 479, 46]",211
292,"[1, 52, 0]","[0, 52, 66]","[1, 40, 66]","[1, 1440, 67]","[1, 479, 67]",211
293,"[1, 52, 0]","[0, 52, 41]","[1, 40, 41]","[1, 1440, 42]","[1, 479, 42]",211
294,"[1, 52, 0]","[0, 52, 73]","[1, 40, 73]","[1, 1440, 74]","[1, 479, 74]",211
295,"[1, 52, 0]","[0, 52, 44]","[1, 40, 44]","[1, 1440, 46]","[1, 479, 46]",211
296,"[1, 52, 0]","[0, 52, 42]","[1, 40, 42]","[1, 1440, 43]","[1, 479, 43]",211
297,"[1, 52, 0]","[0, 52, 46]","[1, 40, 47]","[1, 1440, 48]","[1, 479, 48]",211
298,"[1, 52, 0]","[0, 52, 54]","[1, 40, 54]","[1, 1440, 55]","[1, 479, 55]",211
299,"[1, 52, 0]","[0, 52, 51]","[1, 40, 52]","[1, 1440, 52]","[1, 479, 52]",211
300,"[1, 52, 0]","[0, 52, 59]","[1, 40, 59]","[1, 1440, 60]","[1, 479, 60]",211
301,"[1, 52, 0]","[0, 52, 42]","[1, 40, 42]","[1, 1440, 43]","[1, 479, 43]",211
302,"[1, 52, 0]","[0, 52, 43]","[1, 40, 44]","[1, 1440, 45]","[1, 479, 45]",211
303,"[1, 52, 0]","[0, 52, 42]","[1, 40, 42]","[1, 1440, 43]","[1, 479, 43]",211
304,"[1, 52, 0]","[0, 52, 50]","[1, 40, 50]","[1, 1440, 51]","[1, 479, 51]",211
305,"[1, 52, 0]","[0, 52, 44]","[1, 40, 44]","[1, 1440, 45]","[1, 550, 45]",211
306,"[1, 52, 0]","[0, 52, 42]","[1, 40, 42]","[1, 1440, 44]","[1, 479, 44]",211
